ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Trebaseleghe;;;;;;;;;;;;;
Coordinata X 1735991 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5054349 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 23 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Medio
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;19.1;15.8;11.7;7.8;2.7;2.2;9.9
1996;1.8;-1;2;8;12.4;15.8;15.4;15.6;10.7;8.8;5.3;1.8;8
1997;0.5;0;2.8;4.5;12.2;15.7;15.6;16.6;12.4;7.7;5.3;2.5;8
1998;2.3;-0.6;1.8;7.7;12.1;16.3;17.8;17.1;12.8;8.7;1.7;-1.8;8
1999;-1.5;-2.1;3.6;8.2;14.1;15.9;17.7;17.6;14.4;9.5;3.3;-1.5;8.3
2000;-3.6;-0.6;3.8;10.9;13.8;16.1;15.4;16.6;12.9;11.6;6.9;2.8;8.9
2001;2;0.7;6.1;6.8;14.9;14.3;17.6;17.4;10.8;12.2;1.9;-4.5;8.4
2002;-4.8;1.8;4;7.3;12.7;16.3;16.6;16.1;12.2;9;7;2.7;8.4
2003;-1.1;-3.7;2.4;7;13;18.8;17.5;18.9;11.5;7;5.9;0.1;8.1
2004;-1.6;-0.5;3.5;8.2;10.6;15.7;16.6;16.8;12;12.1;3.5;0.4;8.1
2005;-3.2;-3.7;2.1;7;12.6;16.2;17;14.5;13.8;9.4;3.6;-1.6;7.3
2006;-2.7;-0.8;2.3;7.3;11.5;14.9;18.1;14.3;13;9.4;3.8;1.1;7.7
2007;1.3;2.3;4.6;8.9;12.7;15.8;15.7;15.7;11.1;7.6;2.1;-1.3;8
2008;1.6;-0.1;3.5;7.4;12.9;16.9;16.6;16.7;11.7;8.4;5;2.1;8.6
2009;1.3;0;3.3;9.2;14.3;15.7;17;17.9;14.1;8.5;6.7;-0.2;9
2010;-0.8;1.2;3.4;7.6;12.7;16.1;17.7;15.6;11.6;7.2;5.6;-0.9;8.1
2011;-0.4;0.1;4;8.6;12.2;15.5;16.2;16.1;15.5;7.2;2.6;-0.2;8.1
2012;-3.3;-3.7;3.9;8;11.9;16;17.3;17;14.2;10.2;6.1;-0.9;8.1
2013;0.6;-0.4;4;7.3;10.6;15.8;18.7;16.8;13.2;11.4;5.6;0.7;8.7
2014;3.7;4.9;5.6;9.5;11.6;15.7;16.9;15.9;13.8;11.3;8.5;3.2;10
2015;-0.4;1.5;3.9;6.8;13.3;16.5;19.9;17.7;13.8;9.5;3.7;-0.3;8.8
2016;-1.4;3.7;4.8;9;11.5;15.8;17.9;15.8;14.6;9.1;5.5;-1.6;8.7
2017;-4.5;2.4;4.3;7.7;12.5;16.3;16.8;17.5;12.9;8;3.3;-1.1;8
2018;1.8;0.6;3.6;10.2;14.7;16.5;18.1;17.6;14.5;10.4;7.3;-0.9;9.5
2019;-2.5;0.2;2.8;8.4;11.2;18.5;18.6;18.7;13.5;10.9;7.1;1.8;9.1
2020;-1.2;1.3;4.3;6.8;12.5;15.9;17.5;18.5;14.4;8.6;2.8;2.3;8.6
2021;-1;2.8;1.5;6.2;11;17.2;18.2;16.6;13.5;7.3;5.2;0.1;8.2
2022;-1.6;0.1;1.8;6.3;14.3;17.2;17.9;17.6;13.8;11.3;5;2.9;8.9
Medio mensile;-0.7;0.2;3.5;7.8;12.6;16.2;17.3;16.8;13;9.3;4.7;0.4;8.5
;;;;;;;;;;;;;
Il valore mensile è il valore medio delle minime giornaliere del mese.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili.;;;;;;;;;;;;;
Il valore medio annuale è il valore medio dei valori mensili dell'anno.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;31;28;31;30;31;30;31;31;30;31;30;31;
1995;31;28;31;30;31;30;10;0;0;0;8;0;
1996;0;0;0;0;0;0;0;2;0;0;0;6;
1997;13;0;0;0;0;0;0;0;0;0;0;0;
1998;3;5;0;0;2;0;0;0;0;3;0;0;
1999;4;0;0;0;0;0;0;0;0;0;0;2;
2000;0;0;0;0;0;0;0;0;0;5;2;0;
2001;0;0;0;0;0;0;0;0;0;0;0;1;
2002;2;0;3;5;0;0;0;0;0;0;0;2;
2003;0;0;0;0;0;0;0;0;0;0;0;0;
2004;0;0;0;0;0;0;0;0;0;0;0;0;
2005;0;2;0;0;0;0;0;0;0;0;0;0;
2006;0;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;2;0;2;0;0;0;0;
2008;0;2;0;0;0;0;0;0;0;0;1;5;
2009;16;0;0;0;0;0;0;0;0;0;0;0;
2010;1;1;4;0;0;0;0;0;0;0;4;0;
2011;0;0;0;0;0;0;4;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;0;
2013;0;0;0;14;9;0;0;0;0;0;0;0;
2014;0;2;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;2;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;2;0;0;0;0;1;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 20 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori medi mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
