ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Campagna Lupia - Valle Averto;;;;;;;;;;;;;
Coordinata X 1746123 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5026591 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 0 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1996;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1996;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1997;>>;>>;>>;>>;>>;>>;>>;>>;>>;57.732;136.82;80.89;275.442
1998;107.33;243.322;433.939;138.364;556.156;769.643;699.924;643.215;377.952;159.432;186.45;128.712;4444.439
1999;138.484;239.124;350.784;488.263;595.932;688.665;697.175;562.651;445.744;229.471;138.998;110.688;4685.979
2000;176.861;212.639;393.027;484.341;665.814;765.689;718.701;638.966;453.024;192.782;82.465;105.711;4890.02
2001;96.209;232.396;288.672;523.678;691.389;>>;571.086;657.267;420.911;265.526;170.629;166.022;4083.785
2002;158.02;141.088;437.241;499.874;515.137;700.325;720.59;631.328;404.405;291.326;115.828;93.492;4708.654
2003;159.815;314.415;449.868;487.805;732.709;718.507;779.301;660.995;486.958;289.061;166.637;140.184;5386.255
2004;136.875;150.138;348.801;490.36;663.806;710.423;766.159;673.308;487.743;239.557;171.852;146.906;4985.928
2005;184.649;269.342;432.195;524.049;727.211;745.28;755.428;554.844;451.487;216.122;145.964;136.381;5142.952
2006;162.52;229.465;308.78;481.749;666.254;793.949;788.746;619.994;479.647;322.555;170.298;150.301;5174.258
2007;113.575;192.55;388.96;624.469;666.618;682.408;794.495;600.627;500.746;312.652;189.262;150.044;5216.406
2008;118.2;210.537;337.372;478.85;663.04;672.522;747.478;689.299;444.138;290.09;142.318;103.809;4897.653
2009;125.436;245.28;385.308;462.828;698.229;706.262;786.574;702.798;469.612;329.264;104.631;111.679;5127.901
2010;106.477;187.617;356.495;585.54;608.064;706.664;787.529;605.917;433.902;307.054;112.206;97.358;4894.823
2011;107.126;221.551;396.95;618;782.408;689.838;756.997;724.018;491.828;353.995;183.03;124.733;5450.474
2012;181.371;274.319;510.486;484.416;700.162;746.61;809.446;718.576;437.172;268.444;146.006;114.51;5391.518
2013;109.6;205.071;293.485;478.09;585.696;779.74;823.309;692.078;473.892;232.126;168.451;133.438;4974.976
2014;85.904;189.565;432.214;542.757;718.972;772.755;693.133;616.348;438.088;317.516;141.094;119.286;5067.632
2015;166.778;230.074;421.84;579.697;630.186;775.969;817.998;676.923;471.431;289.613;164.434;115.715;5340.658
2016;152.466;188.948;390.557;540.36;641.281;690.077;776.138;713.436;495.142;274.231;163.317;142.594;5168.547
2017;211.918;181.36;471.375;576.841;688.69;750.087;802.779;706.791;432.76;297.891;162.326;141.207;5424.025
2018;150.339;206.765;351.23;618.501;714.071;796.999;822.084;718.833;521.766;318.458;145.37;124.629;5489.045
2019;174.396;250.698;468.312;456.721;509.991;782.364;731.165;651.859;460.838;292.845;127.815;127.949;5034.953
2020;163.969;257.518;415.344;628.485;706.2;727.299;801.827;634.491;503.225;265.52;190.278;96.987;5391.143
